
Index	Nounce	Data	Hash	Prev. hash	Proof of Work
60	4769981	Tine:leave	00000011c22dd7c2a07befa8b482402e77bee4518c7be055820277d8fdd42d9e	00000093a8d0ee138b6db204afed592fc53472ae3f65e5181bdca5c839c06476	true
61	10080010	Helge:join	00000093a8d0ee138b6db204afed592fc53472ae3f65e5181bdca5c839c06476	00000018978589cbb32d9935aede7bfe619bfa1c7d8e4c6d64635b65f5533677	true
62	23110994	Daniel:join	00000018978589cbb32d9935aede7bfe619bfa1c7d8e4c6d64635b65f5533677	0000008978da9923ad50bae1ea9b932b78881a842d9f084b14a07d5218c3f8ea	true
63	23441105	Tine:join	0000008978da9923ad50bae1ea9b932b78881a842d9f084b14a07d5218c3f8ea	0000009378c3a4e8c8796c6187f6e5346b2cc2e2f92ff8e51ed4b4b9e2b1a6c3	true
64	14073834	Helge:leave	0000009378c3a4e8c8796c6187f6e5346b2cc2e2f92ff8e51ed4b4b9e2b1a6c3	000000ad44bb4f332d08d6f2fa77534235e89f807add81e0fb6cbac82c2ac029	true
65	17511927	Jens:join	000000ad44bb4f332d08d6f2fa77534235e89f807add81e0fb6cbac82c2ac029	000000624ba416d38f543a01edc27dacaa5529473c00a9257bc2338bdd1b54c1	true
66	4108774	Emmely:join	000000624ba416d38f543a01edc27dacaa5529473c00a9257bc2338bdd1b54c1	000000b3088e574c39bbed32d0963f2d9f44f0e54dd21d3799fa11b00ccbb99d	true
67	271795	Emmely:leave	000000b3088e574c39bbed32d0963f2d9f44f0e54dd21d3799fa11b00ccbb99d	000000a2d59e51a3a121d100b4792903233d6798c20f757679cd8405df6a7c99	true
68	28832782	Daniel:leave	000000a2d59e51a3a121d100b4792903233d6798c20f757679cd8405df6a7c99	000000b632bc1bc968f7a641bf879cef1aec5b8874730aee533e6c454a8d0211	true
69	24793799	Emmely:join	000000b632bc1bc968f7a641bf879cef1aec5b8874730aee533e6c454a8d0211	000000314f2a0a897f58d63f20164a3553f3e2271c35f91b937231e8b0773bd4	true
6a	8969162	Anders:join	000000314f2a0a897f58d63f20164a3553f3e2271c35f91b937231e8b0773bd4	000000a28944123a7fb0a689ccde209d329836eeee790304125b49e510a0d1db	true
6b	11463264	Jens:leave	000000a28944123a7fb0a689ccde209d329836eeee790304125b49e510a0d1db	000000612a409584a9be7793ab9f7db4101bd2eb1bd1d0831f876b39981b430e	true
6c	1800076	Tine:leave	000000612a409584a9be7793ab9f7db4101bd2eb1bd1d0831f876b39981b430e	0000009b8d86ec82fe8201714cd50ffe79bad1fe2b2bd4c8386ef0c223e3e718	true
6d	4191393	Helge:join	0000009b8d86ec82fe8201714cd50ffe79bad1fe2b2bd4c8386ef0c223e3e718	0000005c37e52bf1557ab5c6414e65c09dc13b9d23857905e625a7ddb6ab7eb9	true
6e	19797052	Anders:leave	0000005c37e52bf1557ab5c6414e65c09dc13b9d23857905e625a7ddb6ab7eb9	000000854b63952ad2501b2067ee2fb56a316928bd5e0c202839d09d98deb289	true
6f	9998223	Emmely:leave	000000854b63952ad2501b2067ee2fb56a316928bd5e0c202839d09d98deb289	0000008876ceb0204fa6b4b0b44f61b25dc5bce8f48b1afa533c8613f67838fa	true
70	9933461	Kristian:join	0000008876ceb0204fa6b4b0b44f61b25dc5bce8f48b1afa533c8613f67838fa	00000024815a4638ddbc41c2d3f36eb55a1bf9dfc8443bbb747dd7d6de39eded	true
